fecha,sucursal,ciudad,producto,categoria,cantidad,precio_unitario,descuento,total
2025-01-01,Tres Ríos,Culiacán,Consulta visual,Servicios,1,99,0,99
2025-01-01,Mazatlán Centro,Mazatlán,Armazón premium,Armazones,2,890,0.15,1513.0
2025-01-01,Galerías,Culiacán,Armazón premium,Armazones,3,890,0.05,2536.5
2025-01-01,Forum,Culiacán,Armazón premium,Armazones,1,890,0.15,756.5
2025-01-01,Los Mochis,Los Mochis,Solución 360ml,Accesorios,1,120,0,120
2025-01-01,Mazatlán Centro,Mazatlán,Armazón básico,Armazones,3,350,0,1050
2025-01-02,Tres Ríos,Culiacán,Consulta visual,Servicios,3,99,0.15,252.45
2025-01-02,Tres Ríos,Culiacán,Armazón básico,Armazones,1,350,0,350
2025-01-02,Guasave,Guasave,Armazón premium,Armazones,3,890,0,2670
2025-01-03,Tres Ríos,Culiacán,Armazón de diseñador,Armazones,2,1650,0,3300
2025-01-03,Guasave,Guasave,Armazón básico,Armazones,3,350,0,1050
2025-01-03,Plaza Fiesta,Culiacán,Armazón básico,Armazones,1,350,0,350
2025-01-03,Mazatlán Centro,Mazatlán,Lentes progresivos,Lentes,3,2490,0,7470
2025-01-03,Mazatlán Dorado,Mazatlán,Estuche rígido,Accesorios,1,80,0.1,72.0
2025-01-03,Tres Ríos,Culiacán,Solución 360ml,Accesorios,3,120,0,360
2025-01-04,Forum,Culiacán,Solución 360ml,Accesorios,2,120,0,240
2025-01-04,Mazatlán Dorado,Mazatlán,Armazón de diseñador,Armazones,3,1650,0.1,4455.0
2025-01-04,Tres Ríos,Culiacán,Armazón básico,Armazones,3,350,0.15,892.5
2025-01-04,Centro,Culiacán,Armazón de diseñador,Armazones,1,1650,0,1650
2025-01-04,Plaza Fiesta,Culiacán,Lentes monofocales,Lentes,2,890,0.15,1513.0
2025-01-04,Mazatlán Dorado,Mazatlán,Lentes monofocales,Lentes,2,890,0.05,1691.0
2025-01-04,Tres Ríos,Culiacán,Lentes monofocales,Lentes,3,890,0.15,2269.5
2025-01-05,Centro,Culiacán,Lentes bifocales,Lentes,1,1490,0,1490
2025-01-05,Centro,Culiacán,Armazón de diseñador,Armazones,2,1650,0,3300
2025-01-05,Plaza Fiesta,Culiacán,Consulta visual,Servicios,2,99,0,198
2025-01-06,Los Mochis,Los Mochis,Microfibra,Accesorios,1,45,0,45
2025-01-06,Galerías,Culiacán,Armazón de diseñador,Armazones,1,1650,0,1650
2025-01-06,Forum,Culiacán,Estuche rígido,Accesorios,3,80,0.15,204.0
2025-01-06,Mazatlán Dorado,Mazatlán,Armazón de diseñador,Armazones,3,1650,0,4950
2025-01-06,Plaza Fiesta,Culiacán,Estuche rígido,Accesorios,3,80,0.1,216.0
2025-01-06,Forum,Culiacán,Solución 360ml,Accesorios,3,120,0,360
2025-01-06,Mazatlán Dorado,Mazatlán,Lentes monofocales,Lentes,2,890,0,1780
2025-01-06,Los Mochis,Los Mochis,Gotas lubricantes,Accesorios,3,95,0,285
2025-01-06,Centro,Culiacán,Lentes progresivos,Lentes,3,2490,0,7470
2025-01-07,Tres Ríos,Culiacán,Lentes progresivos,Lentes,3,2490,0,7470
2025-01-07,Tres Ríos,Culiacán,Consulta visual,Servicios,2,99,0.15,168.3
